uid,ppr_seed,ppr_global
Staples::Arts & Crafts > Chalk,0.00022481582609235775,8.328304887387055e-05
Staples::Arts & Crafts > Charcoal,0.00014992494852485066,5.9500837564765946e-05
Staples::Arts & Crafts > Coloring Books,0.0002450477326931569,5.5042036740088605e-05
Staples::Arts & Crafts > Crafting,0.0002177698015349438,0.00014345204615189607
Staples::Arts & Crafts > Crafting > Art Portfolios & Craft Storage,0.00018112091194650556,6.897757383348174e-05
Staples::Arts & Crafts > Crafting > Craft Kits,0.00035219218637375636,0.00015985590384203944
Staples::Arts & Crafts > Crafting > Craft Supplies,0.0003420444153556916,0.00017730745286037564
Staples::Arts & Crafts > Crayons,0.0002818517586606359,8.818408112705258e-05
Staples::Arts & Crafts > Drafting Supplies,0.00024429143723875795,7.346744756277064e-05
Staples::Arts & Crafts > Drawing & Colored Pencils,0.0003052851563743595,8.74352953956688e-05
Staples::Arts & Crafts > Drawing Tools & Supplies,0.00023022396554925174,7.242430154922295e-05
Staples::Arts & Crafts > Paint,0.0006231031788267702,0.00025203637735505695
Staples::Arts & Crafts > Painting Accessories,0.0002855293972122879,9.342346936679671e-05
Staples::Arts & Crafts > Pastels,0.00021414783786580493,4.90722252708936e-05
Staples::Arts & Crafts > Scrapbooking,0.00035806018586356954,0.0001761052168324455
Staples::Arts & Crafts > Scrapbooking > Die Cutting,0.0002560530585199205,0.0001054973655982034
Staples::Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,0.00018766403818379248,9.720579743385425e-05
Staples::Arts & Crafts > Scrapbooking > Stamps & Stencils,0.0002152584704279438,5.62792025124276e-05
Staples::Arts & Crafts > Scrapbooking > Stickers & Embellishments,0.00023713683064027026,7.070691709320878e-05
Staples::Arts & Crafts > Sketch Pads & Books,0.00022666501955022114,2.62965551251946e-05
Staples::Audio,0.000247317065011595,0.00026285896677493174
Staples::Audio > Headphones,0.00010192816853111474,0.00010169194118925384
Staples::Audio > Headphones > Headphones,0.0003618721314507848,0.00018765320283909597
Staples::Audio > Headsets & Microphones,0.0001475435934838291,7.566728250183455e-05
Staples::Audio > Headsets & Microphones > Headsets,0.00031685348398100845,8.569752195088855e-05
Staples::Audio > Portable Audio,0.00041674687557999773,0.0002121416495162656
Staples::Audio > Portable Audio > Home Theater Audio,0.00043677176512111265,0.00019782598324375104
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,0.00025084789173890505,6.195964425042088e-05
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,0.00034639654028873997,0.0001386444163135975
Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,0.00024561987434641844,7.742338654748585e-05
Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,0.0003897859814537744,9.420751059223271e-05
