competitor,method,encoder,tau,s_enter,neg_median,auc,youden_j,n_gold,n_pos,n_neg_real,n_neg_ablation,top1,n_top1,gold_accuracy,false_gap_rate,gap_recall_real,base_rate_carried,top1_wording_only,auc_wording_only,source
OfficeDepot,G,wording + thesaurus + structure,0.4363,0.24077565968036652,0.2905074656009674,0.7608261897723914,0.4064439846290274,205,199,6,198,0.7272727272727273,198,0.5951219512195122,0.10050251256281408,0.6666666666666666,0.9798657718120806,0.6060606060606061,0.7354049660065032,own labels
WestElm,G,wording + thesaurus + structure,0.4231,0.2176574319601059,0.2791315168142319,0.6981525157232704,0.2949685534591195,120,106,14,106,0.5188679245283019,106,0.5666666666666667,0.10377358490566038,0.5714285714285714,0.89,0.5283018867924528,0.6952830188679247,own labels
Wayfair,G,wording + thesaurus + structure,0.3266,0.1660742163658142,0.2580350190401077,0.7043040293040294,0.3623626373626373,120,91,29,91,0.4725274725274725,91,0.6833333333333333,0.0989010989010989,0.2413793103448276,0.82,0.4835164835164835,0.6977106227106228,own labels
Amazon,G,wording + thesaurus + structure,0.3425,0.18554579913616182,0.26661328971385956,0.6876915708812261,0.3163793103448275,120,87,33,87,0.41379310344827586,87,0.6666666666666666,0.10344827586206896,0.36363636363636365,0.79,0.367816091954023,0.6719827586206897,own labels
Walmart,G,wording + thesaurus + structure,0.3372,0.08318599164485932,0.2080075740814209,0.6519076570622963,0.27412106793550095,117,97,20,97,0.41237113402061853,97,0.5384615384615384,0.10309278350515463,0.25,0.87,0.3711340206185567,0.6336681645959997,own labels
