uid,retailer,name,path,level,items,n_leaves,is_leaf,coreness
Staples::Appliances & Kitchenware > Major Appliances,Staples,Major Appliances,Appliances & Kitchenware > Major Appliances,2,810.0,49,False,0.4525065963060686
Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,Staples,Dishwashers,Appliances & Kitchenware > Major Appliances > Dishwashers,3,1.0,1,True,0.3049056603773585
Staples::Appliances & Kitchenware > Major Appliances > Food Warmers,Staples,Food Warmers,Appliances & Kitchenware > Major Appliances > Food Warmers,3,7.0,1,True,0.3315723270440252
Staples::Appliances & Kitchenware > Major Appliances > Freezers,Staples,Freezers,Appliances & Kitchenware > Major Appliances > Freezers,3,5.0,1,True,0.3232704402515723
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples,Ice Makers & Dispensers,Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,3,647.0,43,True,0.4831446540880503
Staples::Appliances & Kitchenware > Major Appliances > Range Hoods,Staples,Range Hoods,Appliances & Kitchenware > Major Appliances > Range Hoods,3,2.0,1,True,0.31056603773584907
Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,Staples,Refrigerators,Appliances & Kitchenware > Major Appliances > Refrigerators,3,148.0,1,True,0.4420125786163522
Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,Staples,Washers & Dryers,Appliances & Kitchenware > Major Appliances > Washers & Dryers,3,810.0,49,True,0.4869182389937107
Staples::Appliances & Kitchenware > Small Appliances,Staples,Small Appliances,Appliances & Kitchenware > Small Appliances,2,390.0,18,False,0.4245382585751979
Staples::Appliances & Kitchenware > Small Appliances > Bread Machines,Staples,Bread Machines,Appliances & Kitchenware > Small Appliances > Bread Machines,3,2.0,1,True,0.31056603773584907
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples,Cotton Candy Machines,Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,3,390.0,18,True,0.4725786163522013
Staples::Appliances & Kitchenware > Small Appliances > Deep Fryers,Staples,Deep Fryers,Appliances & Kitchenware > Small Appliances > Deep Fryers,3,34.0,1,True,0.3810062893081761
Staples::Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,Staples,Egg Cookers & Servers,Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,3,3.0,1,True,0.31471698113207547
Staples::Appliances & Kitchenware > Small Appliances > Fondue Sets,Staples,Fondue Sets,Appliances & Kitchenware > Small Appliances > Fondue Sets,3,1.0,1,True,0.3049056603773585
Staples::Appliances & Kitchenware > Small Appliances > Food Dehydrators,Staples,Food Dehydrators,Appliances & Kitchenware > Small Appliances > Food Dehydrators,3,1.0,1,True,0.3049056603773585
"Staples::Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",Staples,"Griddles, Grills & Waffle Makers","Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",3,41.0,1,True,0.39044025157232704
Staples::Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,Staples,Ice Cream & Yogurt Makers,Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,3,11.0,1,True,0.34377358490566035
Staples::Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,Staples,Ice Makers & Snow Cone Machines,Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,3,24.0,1,True,0.36754716981132074
Staples::Appliances & Kitchenware > Small Appliances > Microwaves,Staples,Microwaves,Appliances & Kitchenware > Small Appliances > Microwaves,3,105.0,1,True,0.4277987421383648
Staples::Appliances & Kitchenware > Small Appliances > Pasta Makers,Staples,Pasta Makers,Appliances & Kitchenware > Small Appliances > Pasta Makers,3,1.0,1,True,0.3049056603773585
Staples::Appliances & Kitchenware > Small Appliances > Popcorn Machines,Staples,Popcorn Machines,Appliances & Kitchenware > Small Appliances > Popcorn Machines,3,4.0,1,True,0.31886792452830187
Staples::Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,Staples,Rice Cookers & Steamers,Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,3,20.0,1,True,0.3589937106918239
Staples::Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,Staples,Slow Cookers & Roasters,Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,3,27.0,1,True,0.37358490566037733
Staples::Arts & Crafts,Staples,Arts & Crafts,Arts & Crafts,1,10679.0,27,False,0.2784615384615385
Staples::Arts & Crafts > Art & Drawing Pens,Staples,Art & Drawing Pens,Arts & Crafts > Art & Drawing Pens,2,206.0,1,True,0.24205804749340368
Staples::Arts & Crafts > Art Brushes,Staples,Art Brushes,Arts & Crafts > Art Brushes,2,1380.0,1,True,0.2844854881266491
Staples::Arts & Crafts > Art Paper & Rolls,Staples,Art Paper & Rolls,Arts & Crafts > Art Paper & Rolls,2,640.0,1,True,0.2654881266490765
Staples::Arts & Crafts > Canvas & Art Boards,Staples,Canvas & Art Boards,Arts & Crafts > Canvas & Art Boards,2,103.0,1,True,0.23002638522427438
Staples::Arts & Crafts > Chalk,Staples,Chalk,Arts & Crafts > Chalk,2,32.0,1,True,0.20912928759894459
Staples::Arts & Crafts > Charcoal,Staples,Charcoal,Arts & Crafts > Charcoal,2,11.0,1,True,0.19947229551451184
Staples::Arts & Crafts > Coloring Books,Staples,Coloring Books,Arts & Crafts > Coloring Books,2,166.0,1,True,0.2384168865435356
Staples::Arts & Crafts > Crafting,Staples,Crafting,Arts & Crafts > Crafting,2,1205.0,3,False,0.2797361477572559
Staples::Arts & Crafts > Crafting > Art Portfolios & Craft Storage,Staples,Art Portfolios & Craft Storage,Arts & Crafts > Crafting > Art Portfolios & Craft Storage,3,66.0,1,True,0.24566037735849056
Staples::Arts & Crafts > Crafting > Craft Kits,Staples,Craft Kits,Arts & Crafts > Crafting > Craft Kits,3,542.0,1,True,0.28732075471698115
Staples::Arts & Crafts > Crafting > Craft Supplies,Staples,Craft Supplies,Arts & Crafts > Crafting > Craft Supplies,3,597.0,1,True,0.28867924528301886
Staples::Arts & Crafts > Crayons,Staples,Crayons,Arts & Crafts > Crayons,2,119.0,1,True,0.23366754617414245
Staples::Arts & Crafts > Drafting Supplies,Staples,Drafting Supplies,Arts & Crafts > Drafting Supplies,2,88.0,1,True,0.22622691292875988
Staples::Arts & Crafts > Drawing & Colored Pencils,Staples,Drawing & Colored Pencils,Arts & Crafts > Drawing & Colored Pencils,2,240.0,1,True,0.24585751978891818
Staples::Arts & Crafts > Drawing Tools & Supplies,Staples,Drawing Tools & Supplies,Arts & Crafts > Drawing Tools & Supplies,2,53.0,1,True,0.21862796833773088
Staples::Arts & Crafts > Paint,Staples,Paint,Arts & Crafts > Paint,2,1884.0,1,True,0.28891820580474936
Staples::Arts & Crafts > Painting Accessories,Staples,Painting Accessories,Arts & Crafts > Painting Accessories,2,126.0,1,True,0.23414248021108175
Staples::Arts & Crafts > Pastels,Staples,Pastels,Arts & Crafts > Pastels,2,95.0,1,True,0.22781002638522424
Staples::Arts & Crafts > Scrapbooking,Staples,Scrapbooking,Arts & Crafts > Scrapbooking,2,515.0,4,False,0.26137203166226913
Staples::Arts & Crafts > Scrapbooking > Die Cutting,Staples,Die Cutting,Arts & Crafts > Scrapbooking > Die Cutting,3,202.0,1,True,0.2720754716981132
Staples::Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,Staples,Scrapbooking Albums & Kits,Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,3,14.0,1,True,0.21064150943396226
Staples::Arts & Crafts > Scrapbooking > Stamps & Stencils,Staples,Stamps & Stencils,Arts & Crafts > Scrapbooking > Stamps & Stencils,3,133.0,1,True,0.262188679245283
Staples::Arts & Crafts > Scrapbooking > Stickers & Embellishments,Staples,Stickers & Embellishments,Arts & Crafts > Scrapbooking > Stickers & Embellishments,3,166.0,1,True,0.26784905660377356
Staples::Arts & Crafts > Sketch Pads & Books,Staples,Sketch Pads & Books,Arts & Crafts > Sketch Pads & Books,2,584.0,1,True,0.26437994722955144
Staples::Audio,Staples,Audio,Audio,1,2787.0,12,False,0.31794871794871793
Staples::Audio > Headphones,Staples,Headphones,Audio > Headphones,2,782.0,1,False,0.3603166226912929
Staples::Audio > Headphones > Headphones,Staples,Headphones,Audio > Headphones > Headphones,3,782.0,1,True,0.38913207547169815
Staples::Audio > Headsets & Microphones,Staples,Headsets & Microphones,Audio > Headsets & Microphones,2,1095.0,2,False,0.37129287598944594
