competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,sibling_coverage,concept_id,O_node,label,O
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Measuring & Marking Tools > Protractors,Cleaning > Tools & Equipment > Measuring & Marking Tools > Protractors,4,True,1.0,"Tools, Parts & Supplies > Measuring & Leveling Tools > Compasses, Protractors and Markers",0.4997441053706224,True,1.0,-0.7076752811228549,0.0,PARITY,59.3824043597107,20.513888888888886,1.0,1695,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Measuring & Marking Tools > Temperature Measurement,Cleaning > Tools & Equipment > Measuring & Marking Tools > Temperature Measurement,4,True,8.0,"Tools, Parts & Supplies > Chalk Reels & Marking Tools > Temperature Indicators",0.41753204295965013,False,1.0,0.0,0.0,PARITY,35.78016503326709,16.719739761568192,1.0,1874,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Measuring & Marking Tools > Thermostats,Cleaning > Tools & Equipment > Measuring & Marking Tools > Thermostats,4,True,3.0,Facilities > Heating & Cooling > Thermostats,0.7377211440499951,True,1.0,1.140959836497202,0.0,DEEPEN,69.87963284000243,42.77777777777777,1.0,525,0.27714307003140026,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Plumbing Equipment,Cleaning > Tools & Equipment > Plumbing Equipment,3,False,10.0,Facilities > Plumbing,0.43468727315264716,False,1.0,-0.16705408466316607,0.0,PARITY,29.86547085201794,52.55529556958132,0.9955156950672646,1875,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Plumbing Equipment > Drain Cleaning & Inspection Equipment,Cleaning > Tools & Equipment > Plumbing Equipment > Drain Cleaning & Inspection Equipment,4,True,4.0,Cleaning Supplies > Floor & Carpet Cleaning Equipment,0.31975929765975647,False,1.0,0.0,0.0,PARITY,30.000000000000004,13.25453702144237,1.0,1876,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Plumbing Equipment > Tips & Nozzles,Cleaning > Tools & Equipment > Plumbing Equipment > Tips & Nozzles,4,True,8.0,Facilities > Grounds Maintenance > Watering Equipment > Water Hose Nozzles & Sprayers,0.33010821735893675,False,1.0,0.0,0.0,PARITY,30.000000000000004,12.856486002167381,1.0,1877,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Pneumatic Tools,Cleaning > Tools & Equipment > Pneumatic Tools,3,False,1.0,Facilities > Hand & Power Tools > Power Tools > Pneumatic Tools,0.7702837729330589,True,1.0,-1.4799401854776022,0.0,PARITY,55.15602292783487,44.48347826086956,0.9957264957264957,499,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Pneumatic Tools > Finishing Tools,Cleaning > Tools & Equipment > Pneumatic Tools > Finishing Tools,4,True,1.0,"Tools, Parts & Supplies > Power Tools > Finishing Tools",0.8119579757489856,True,1.0,-1.4477794447705712,0.0,PARITY,36.12032579434285,22.388888888888886,,1710,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Power Tools,Cleaning > Tools & Equipment > Power Tools,3,False,4.0,"Tools, Parts & Supplies > Power Tools",0.8167711636206461,True,1.0,-0.5314887128964163,0.0,PARITY,50.93287699386137,60.1522309711286,0.9956709956709957,1707,,,
OfficeDepot,OfficeDepot::Cleaning > Tools & Equipment > Power Tools > Drilling & Fastening Tools,Cleaning > Tools & Equipment > Power Tools > Drilling & Fastening Tools,4,True,4.0,"Tools, Parts & Supplies > Power Tools > Drilling and Fastening Tools",0.9517652253242307,True,1.0,-0.5314887128964163,0.0,PARITY,30.08963874818785,46.16347826086956,,1709,,,
OfficeDepot,OfficeDepot::Cleaning > Trash Cans & Bags,Cleaning > Trash Cans & Bags,2,False,438.0,Cleaning Supplies > Waste & Recycling > Trash Bags,0.45111813135559076,False,1.0,0.2510446084237019,0.0,PARITY,98.416497642459,82.06438943295248,0.9739840894431305,1878,,,
OfficeDepot,OfficeDepot::Cleaning > Trash Cans & Bags > Recycle Bins,Cleaning > Trash Cans & Bags > Recycle Bins,3,True,18.0,Cleaning Supplies > Waste & Recycling > Trash Cans & Recycling Bins,0.3523682235314237,False,1.0,0.0,0.0,PARITY,80.45972400635054,31.1779206462883,1.0,1879,,,
OfficeDepot,OfficeDepot::Cleaning > Trash Cans & Bags > Trash Bags,Cleaning > Trash Cans & Bags > Trash Bags,3,True,268.0,Cleaning Supplies > Waste & Recycling > Trash Bags,0.778697235959435,True,1.0,0.9731398486691578,0.0,DEEPEN,100.0,83.25,1.0,185,0.08778112033195018,1P-CORE GAP,0.0942407894736842
OfficeDepot,OfficeDepot::Cleaning > Trash Cans & Bags > Trash Cans,Cleaning > Trash Cans & Bags > Trash Cans,3,True,152.0,Cleaning Supplies > Waste & Recycling > Trash Cans & Recycling Bins,0.4909774838520872,True,1.0,-0.3762087204142359,0.0,PARITY,100.0,86.0,1.0,186,,,
OfficeDepot,OfficeDepot::Computers & Accessories,Computers & Accessories,1,False,7960.0,Computers & Accessories,0.863044205385278,True,0.9702991006065677,0.5158679153825645,30.292687089342095,PARITY,79.76831748672453,78.99212598425197,,114,,,
OfficeDepot,OfficeDepot::Computers & Accessories > Computer Accessories,Computers & Accessories > Computer Accessories,2,False,1326.0,Computers & Accessories,0.824518236961101,True,1.0,-0.8820378705903726,0.0,PARITY,92.52603167885927,79.28608923884515,0.9584309133489461,114,,,
OfficeDepot,OfficeDepot::Computers & Accessories > Computer Accessories > CPU Stands,Computers & Accessories > Computer Accessories > CPU Stands,3,True,5.0,Computers & Accessories > Computer Monitors & Stands,0.4379204616732248,False,1.0,0.0,0.0,PARITY,77.50414226602838,65.11571871667746,1.0,1880,,,
OfficeDepot,OfficeDepot::Computers & Accessories > Computer Accessories > Computer Cleaning Supplies,Computers & Accessories > Computer Accessories > Computer Cleaning Supplies,3,False,45.0,Cleaning Supplies,0.6871507073436178,True,1.0,-3.568770677842277,0.0,PARITY,84.93974103365316,80.76923076923076,1.0,126,,,
OfficeDepot,OfficeDepot::Computers & Accessories > Computer Accessories > Computer Cleaning Supplies > Cleaning Equipment & Kits,Computers & Accessories > Computer Accessories > Computer Cleaning Supplies > Cleaning Equipment & Kits,4,True,22.0,Cleaning Supplies > Floor & Carpet Cleaning Equipment,0.6171075318967907,True,1.0,-1.8623111581192466,0.0,PARITY,100.0,78.66141732283465,1.0,155,,,
