uid,retailer,name,path,level,items,is_leaf,in_scope,coreness
Staples::Appliances & Kitchenware > Major Appliances,Staples,Major Appliances,Appliances & Kitchenware > Major Appliances,2,810.0,False,True,0.2713385826771654
Staples::Appliances & Kitchenware > Major Appliances > Dishwashers,Staples,Dishwashers,Appliances & Kitchenware > Major Appliances > Dishwashers,3,1.0,True,True,0.18333333333333332
Staples::Appliances & Kitchenware > Major Appliances > Food Warmers,Staples,Food Warmers,Appliances & Kitchenware > Major Appliances > Food Warmers,3,7.0,True,True,0.19840277777777776
Staples::Appliances & Kitchenware > Major Appliances > Freezers,Staples,Freezers,Appliances & Kitchenware > Major Appliances > Freezers,3,5.0,True,True,0.19381944444444443
Staples::Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,Staples,Ice Makers & Dispensers,Appliances & Kitchenware > Major Appliances > Ice Makers & Dispensers,3,647.0,True,True,0.2847222222222222
Staples::Appliances & Kitchenware > Major Appliances > Range Hoods,Staples,Range Hoods,Appliances & Kitchenware > Major Appliances > Range Hoods,3,2.0,True,True,0.18666666666666668
Staples::Appliances & Kitchenware > Major Appliances > Refrigerators,Staples,Refrigerators,Appliances & Kitchenware > Major Appliances > Refrigerators,3,148.0,True,True,0.2620138888888889
Staples::Appliances & Kitchenware > Major Appliances > Washers & Dryers,Staples,Washers & Dryers,Appliances & Kitchenware > Major Appliances > Washers & Dryers,3,810.0,True,True,0.28680555555555554
Staples::Appliances & Kitchenware > Small Appliances,Staples,Small Appliances,Appliances & Kitchenware > Small Appliances,2,390.0,False,True,0.2546456692913386
Staples::Appliances & Kitchenware > Small Appliances > Bread Machines,Staples,Bread Machines,Appliances & Kitchenware > Small Appliances > Bread Machines,3,2.0,True,True,0.18666666666666668
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples,Cotton Candy Machines,Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,3,390.0,True,True,0.27888888888888885
Staples::Appliances & Kitchenware > Small Appliances > Deep Fryers,Staples,Deep Fryers,Appliances & Kitchenware > Small Appliances > Deep Fryers,3,34.0,True,True,0.22805555555555554
Staples::Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,Staples,Egg Cookers & Servers,Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,3,3.0,True,True,0.18909722222222222
Staples::Appliances & Kitchenware > Small Appliances > Fondue Sets,Staples,Fondue Sets,Appliances & Kitchenware > Small Appliances > Fondue Sets,3,1.0,True,True,0.18333333333333332
Staples::Appliances & Kitchenware > Small Appliances > Food Dehydrators,Staples,Food Dehydrators,Appliances & Kitchenware > Small Appliances > Food Dehydrators,3,1.0,True,True,0.18333333333333332
"Staples::Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",Staples,"Griddles, Grills & Waffle Makers","Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",3,41.0,True,True,0.23326388888888885
Staples::Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,Staples,Ice Cream & Yogurt Makers,Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,3,11.0,True,True,0.20513888888888887
Staples::Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,Staples,Ice Makers & Snow Cone Machines,Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,3,24.0,True,True,0.22041666666666668
Staples::Appliances & Kitchenware > Small Appliances > Microwaves,Staples,Microwaves,Appliances & Kitchenware > Small Appliances > Microwaves,3,105.0,True,True,0.25319444444444444
Staples::Appliances & Kitchenware > Small Appliances > Pasta Makers,Staples,Pasta Makers,Appliances & Kitchenware > Small Appliances > Pasta Makers,3,1.0,True,True,0.18333333333333332
Staples::Appliances & Kitchenware > Small Appliances > Popcorn Machines,Staples,Popcorn Machines,Appliances & Kitchenware > Small Appliances > Popcorn Machines,3,4.0,True,True,0.1913888888888889
Staples::Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,Staples,Rice Cookers & Steamers,Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,3,20.0,True,True,0.21562499999999998
Staples::Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,Staples,Slow Cookers & Roasters,Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,3,27.0,True,True,0.22388888888888886
Staples::Arts & Crafts,Staples,Arts & Crafts,Arts & Crafts,1,10679.0,False,True,0.2784615384615385
Staples::Arts & Crafts > Art & Drawing Pens,Staples,Art & Drawing Pens,Arts & Crafts > Art & Drawing Pens,2,206.0,True,True,0.2420472440944882
Staples::Arts & Crafts > Art Brushes,Staples,Art Brushes,Arts & Crafts > Art Brushes,2,1380.0,True,True,0.28425196850393697
Staples::Arts & Crafts > Art Paper & Rolls,Staples,Art Paper & Rolls,Arts & Crafts > Art Paper & Rolls,2,640.0,True,True,0.26535433070866143
Staples::Arts & Crafts > Canvas & Art Boards,Staples,Canvas & Art Boards,Arts & Crafts > Canvas & Art Boards,2,103.0,True,True,0.22976377952755905
Staples::Arts & Crafts > Chalk,Staples,Chalk,Arts & Crafts > Chalk,2,32.0,True,True,0.20929133858267715
Staples::Arts & Crafts > Charcoal,Staples,Charcoal,Arts & Crafts > Charcoal,2,11.0,True,True,0.19937007874015747
Staples::Arts & Crafts > Coloring Books,Staples,Coloring Books,Arts & Crafts > Coloring Books,2,166.0,True,True,0.2384251968503937
Staples::Arts & Crafts > Crafting,Staples,Crafting,Arts & Crafts > Crafting,2,1205.0,False,True,0.2795275590551181
