competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,O_node,label,O
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Office Tape,Office Supplies > Tape & Adhesives > Office Tape,3,False,106.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape",0.793689,True,1.0,-0.9728277575228717,0.0,PARITY,96.47801300481702,96.57407407407408,,,
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Office Tape > Double Sided Office Tape,Office Supplies > Tape & Adhesives > Office Tape > Double Sided Office Tape,4,True,23.0,Party Supplies > Wrapping Supplies > Double Sided Tape,0.8199485,True,1.0,0.9129536727076846,0.0,DEEPEN,100.0,30.61111111111111,0.3477041768045418,,
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Office Tape > Invisible Office Tape,Office Supplies > Tape & Adhesives > Office Tape > Invisible Office Tape,4,True,55.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape",0.6440686,False,1.0,0.0,0.0,PARITY,94.0170669555664,47.116066280890394,,,
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Office Tape > Removable Office Tape,Office Supplies > Tape & Adhesives > Office Tape > Removable Office Tape,4,True,19.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape",0.6693715,False,1.0,0.0,0.0,PARITY,100.0,73.11633950582257,,,
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Office Tape > Transparent Office Tape,Office Supplies > Tape & Adhesives > Office Tape > Transparent Office Tape,4,True,44.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape",0.64736706,False,1.0,0.0,0.0,PARITY,96.19229888916016,50.50543762467525,,,
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Tape Dispensers,Office Supplies > Tape & Adhesives > Tape Dispensers,3,False,21.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape Dispensers",0.9941993,True,1.0,1.0718298142212235,0.0,DEEPEN,100.0,96.57407407407408,0.018892606109759368,1P-CORE GAP,0.020016289437585707
OfficeDepot,OfficeDepot::Office Supplies > Tape & Adhesives > Tape Dispensers > Office Tape Dispensers,Office Supplies > Tape & Adhesives > Tape Dispensers > Office Tape Dispensers,4,True,21.0,"Office Supplies > Tape, Fasteners & Adhesives > Tape Dispensers",0.8868731,True,1.0,1.0718298142212235,0.0,DEEPEN,100.0,91.875,0.044806113138686154,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies,Office Supplies > Writing Supplies,2,False,1971.0,Office Supplies > Writing Supplies & Instruments,0.8687938,True,1.0,1.0909268689727938,0.0,DEEPEN,45.732149311118256,98.97435897435898,0.004098514944178881,1P-CORE GAP,0.0044365827518330625
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Correction Fluid & Tape,Office Supplies > Writing Supplies > Correction Fluid & Tape,3,False,40.0,Office Supplies > Writing Supplies & Instruments > Correction & White Out,0.6748233,False,1.0,0.0,0.0,PARITY,56.29742739200592,65.83137388030687,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Fluid,Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Fluid,4,True,8.0,Office Supplies > Writing Supplies & Instruments > Correction & White Out,0.5914247,False,1.0,0.0,0.0,PARITY,0.0,0.0,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Pens,Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Pens,4,True,5.0,Office Supplies > Writing Supplies & Instruments > Correction & White Out,0.66846085,False,1.0,0.0,0.0,PARITY,8.769856452941895,60.363882560696865,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Tape,Office Supplies > Writing Supplies > Correction Fluid & Tape > Correction Tape,4,True,27.0,Office Supplies > Writing Supplies & Instruments > Correction & White Out,0.64374626,False,1.0,0.0,0.0,PARITY,81.77954864501953,42.59980276778892,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Erasers,Office Supplies > Writing Supplies > Erasers,3,True,77.0,Office Supplies > Writing Supplies & Instruments > Erasers,0.98395,True,1.0,1.559562813327517,0.0,DEEPEN,67.445556640625,81.2962962962963,0.10631092865245988,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Fine Writing Pens Gallery,Office Supplies > Writing Supplies > Fine Writing Pens Gallery,3,False,88.0,Office Supplies > Writing Supplies & Instruments > Pens,0.65985274,False,1.0,0.0,0.0,PARITY,43.589154503562234,63.48705523543887,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Fine Writing Pen Refills,Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Fine Writing Pen Refills,4,True,60.0,Office Supplies > Writing Supplies & Instruments > Pens,0.63567376,False,1.0,0.0,0.0,PARITY,44.567378997802734,38.58211129903793,,,
