competitor,method,encoder,tau,s_enter,neg_median,auc,youden_j,n_gold,n_pos,n_neg_real,n_neg_ablation,top1,n_top1,gold_accuracy,false_gap_rate,gap_recall_real,base_rate_carried,source
OfficeDepot,V,spacy,0.6678,0.5674285411834716,0.5920214230627373,0.789979308306237,0.45277859887673666,205,199,6,198,0.8434343434343434,198,0.6829268292682927,0.10050251256281408,1.0,0.9798657718120806,own labels
WestElm,V,spacy,0.7184,0.5704523622989655,0.587509942830923,0.7609276729559749,0.3872641509433962,120,106,14,106,0.6981132075471698,106,0.5083333333333333,0.10377358490566038,0.5,0.89,own labels
Wayfair,V,spacy,0.6089,0.4921554625034332,0.575328326047905,0.7013736263736264,0.34532967032967027,120,91,29,91,0.5494505494505495,91,0.6916666666666667,0.0989010989010989,0.20689655172413793,0.82,own labels
Amazon,V,spacy,0.6689,0.5232402324676514,0.5726904571056366,0.7050766283524904,0.3568965517241379,120,87,33,87,0.5517241379310345,87,0.6583333333333333,0.10344827586206896,0.3333333333333333,0.79,own labels
Walmart,V,spacy,0.617,0.4420582473278046,0.5153924992863083,0.6691338443915763,0.2690985989955062,117,97,20,97,0.5876288659793815,97,0.5299145299145299,0.10309278350515463,0.2,0.87,own labels
